name,active,sort_order,max_producers,maintainer,url,key_accounts_url,filename,chain_id,location_check,core_symbol,test_account,test_transaction,test_big_block,big_block_transactions,test_public_key,test_bpjson_code,test_bpjson_scope,test_bpjson_table,class_regproducer,class_org,class_api_endpoint,class_p2p_endpoint,class_bpjson,class_history,class_hyperion,class_chains,class_blacklist,class_ipv6,report_errors,report_endpoints,report_node_types,report_resources,report_api_versions,report_p2p_speed,report_country,report_timezone,report_config,report_blacklist
eos,1,100,150,matthew,http://mainnet.eosn.io,http://eos.greymass.com/v1/history/get_key_accounts,bp.json,aca376f206b8fc25a6ed44dbdc66547c36c6c33e3a119ffbeaef943642f0e906,country,EOS,eosnationftw,1bc395276f4bdde15a7992e50e61938457673e861d9480b51762b6e4457e5b79,11302935,699,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,1,0,180,110,120,130,140,0,150,0,170,250
bos,1,102,150,matthew,http://bos.eosn.io,http://api.bossweden.org/v1/history/get_key_accounts,bos.json,d5a3d18fbb3c084e3b1f3fa98c21014b5f3db536cc15d08f9f6479517c6a3d86,timezone,BOS,bosnationftw,c4a2ef620464e3b199996a6b50a35771be39b50f2d6f6a5781ff0bbf850917a2,196058,404,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,160,170,0
wax,1,103,150,matthew,http://wax.eosn.io,https://api.waxsweden.org/v1/history/get_key_accounts,wax.json,1064487b3cd1a897ce03ae5b6a865651747e2e152090f99c1d19d44e01aea5a4,country,WAX,alohaeosprod,26ca258e963137625375197becb6160450cfc4b58f26775ebf273cb83e47f6b8,7846307,76,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,0,170,0
meetone,1,104,150,matthew,http://meetone.eosn.io,,meetone.json,cfe6486a83bad4962f232d48003b1824ab5665c36778141034d75e57b956e422,country,MEETONE,eosnation.m,40165bdd474f67323c374591695598e15d88a0ee6e0367258ef7f32f9e918973,41473988,191,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,producers.m,producers.m,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,0,170,0
telos,1,110,150,michael,http://mainnet.telosusa.io,http://telos.caleos.io/v1/history/get_key_accounts,bp.json,4667b205c6838ef70ff7988f6e8257e8be0e1284a2f59699054a018f743b1d11,country,TLOS,votetelosusa,f3b8bc689d97d9e9ec89881c471f73dcba8287b64046f74d1aeded17de83b43e,39276879,778,EOS7avuePJFiLEaKbziUBs21CyVJn6hN3KHiEjeMnSKGiT3VvMvzz,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,0,170,0
covax,1,120,150,matthew,http://covax.eosn.io,,covax.json,63788f6e75cdb4ec9d8bb64ce128fa08005326a8b91702d0d03e81ba80e14d27,country,COVAX,eosnationftw,361f72b602b2d2abe0def787d8267f1d227da7d8437a60a188af122362d85b7c,13,9,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,,,,1,1,1,1,0,1,1,1,0,0,180,110,120,130,140,0,150,0,170,0
jungle,1,900,150,matthew,http://jungle.eosn.io,http://jungle.eosn.io/v2/state/get_key_accounts,jungle.json,2a02a0053e5a8cf73a56ba0fda11e4d92e0238a4a2aa74fccf46d5a910746840,timezone100,EOS,eosnationftw,4d458e04a592656b1ff572c8584723106a433c12d96aaca7caec6f20bad251c9,1025382,,EOS4uP4oHhtVyZAQze1qMY7ZKqof3y26L6bvnr2FfpMJhhvAnEr1v,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,160,170,0
kylin,1,902,150,matthew,http://kylin.eosn.io,http://kylin.eosn.io/v2/state/get_key_accounts,kylin.json,5fff1dae8dc8e2fc4d5b23b2c7665c97f9e9d8edf2b6485a86ba311c25639191,country,EOS,eosnationftw,f680f985421df7e04edba774b82f90b58ea7cf2479015eaed6d04c05634323ac,29763179,1506,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,0,170,0
bostest,1,904,150,matthew,http://bostest.eosn.io,,bostest.json,33cc2426f1b258ef8c798c34c0360b31732ea27a2d7e35a65797850a86d1ba85,timezone,BOS,bosnationftw,3bb563d8512ffc11c6c1f21d0e552a513d06f7e2adecff00b3fc261c193feb16,33122611,634,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,160,170,0
waxtest,1,906,150,matthew,http://waxtest.eosn.io,,waxtest.json,f16b1833c747c43682f4386fca9cbb327929334a762755ebec17f6f23c9b8a12,country,WAX,faucet.wax,4ccaf948d717e2d705ba23079ce77676bcf32daa9f98317f112f9011414a61d3,,,EOS7w5aJCv5B7y3a6f4WCwPSvs6TpCAoRGnGpiLMsSWbmxaZdKigd,producerjson,producerjson,producerjson,1,1,1,1,1,1,1,1,0,0,180,110,120,130,140,0,150,0,170,0
