key,label_en,label_zh,label_ko
format_datetime,%Y-%m-%d %R %Z,%Y年%m月%d日 %R %Z,%Y년 %m월 %d일 %R %Z
class_general,General Info,基本信息,기본정보
class_regproducer,Regproducer,注册出块节点,Regproducer
class_org,Organization,机构,기관
class_api_endpoint,API,,
class_p2p_endpoint,P2P,,
class_blacklist,Blacklist,黑名单,블랙리스트
class_bpjson,bp.json On-Chain,链上bp.json,bp.json 온체인
class_history,History,历史,히스토리
class_hyperion,Hyperion,Hyperion,히페리온 
class_wallet,Wallet,,
class_chains,Chains.json,Chains.json,Chains.json
class_ipv6,IPv6,IPv6协议,IPv6
class_general_l,General Info Check,基本信息 验证,기본정보 검증
class_regproducer_l,Regproducer Check,注册出块节点 验证,Regproducer Check 검증
class_org_l,Organization Check,机构 验证,기관 검증
class_api_endpoint_l,API Endpoints Check,,
class_p2p_endpoint_l,P2P Endpoints Check,,
class_history_l,History Check,历史 验证,히스토리 검증
class_hyperion_l,Hyperion Check,Hyperion 验证,히페리온 검증
class_wallet_l,Wallet Check,,
class_blacklist_l,Blacklist Check,黑名单 验证,블랙리스트 검증
class_bpjson_l,bp.json On-Chain Check,链上bp.json 验证,bp.json 온체인 검증
class_chains_l,Chains.json Check,Chains.json 验证,Chains.json 검증
class_ipv6_l,IPv6 Check,IPv6协议 验证,IPv6 검증
check_skip,Skipped,跳过,건너뛰기
check_info,Information,信息,정보
check_ok,OK,OK,OK
check_warn,Warning,警告,경고
check_err,Error,错误,에러
check_crit,Critical,批评,중요
check_bonus_blacklist,OK,OK,OK  
check_bonus_bpjson,OK,OK,OK  
check_bonus_history,OK,OK,OK  
check_bonus_hyperion,OK,OK,OK  
check_bonus_wallet,OK,OK,OK  
check_bonus_chains,OK,OK,OK  
check_bonus_ipv6,OK,OK,OK  
bp_top21,Top 21 BP,前21名BP,탑 21BP
bp_standby,Paid Standby BP,有报酬的备选节点,페이 받는 스탠바이BP
bp_other,Not-Paid Standby BP,无报酬的备选节点,페이 받지 않는 스탠바이BP
title_site,Block Producer bp.json Validator,出块节点 bp.json 验证器,블록프로듀서 bp.json 검증기
title_reports/config,Endpoints config.ini,终端配置初始化,앤드포인트 초기설정
title_reports/country,Country Report,国家报告,국가 보고
title_reports/timezone,Time Zone Report,时区报告,타임존 보고
title_reports/endpoints,Endpoints Report,终端报告,앤드포인트 보고
title_reports/errors,Errors Report,错误信息报告,에러 보고
title_reports/node_types,Node Types Report,节点类型报告,노드 타입 보고
title_producers/producer,Report for %producer%,%producer% 报告,%producer% 보고
title_producers/index,Producer Scorecard,出块节点计分卡,프로듀서 스코어 카드
title_reports/resources,Resources Report,资源报告,자원 보고
title_reports/api_versions,API Versions Report,API版本报告,API 버전 보고
title_reports/p2p_speed,P2P Speed Report
title_reports/blacklist,Blacklist Report,黑名单报告,블랙리스트 보고
title_producers,Report for %producer_name_html%,%producer_name_html%报告,%producer_name_html% 보고
label_text_version,text version,文字内容版本,텍스트 버전 보고
label_json_version,json version,json版本,json 버전
filter_yes,Yes,是,예
filter_na,n/a,无内容,내용 없음
filter_no,No,不是,아니요
nav_title,bp.json Validator,bp.json 验证器,bp.json 검증기
nav_producers,Producer Scorecard, 出块节点计分卡,프로듀서 스코어 카드
nav_reports,Reports,报告,보고 
nav_info,Network Info,网络信息,네트워크 정보
nav_about,About,关于,About
nav_lang,Language: %lang%,语言: %lang%,언어:  %lang%
nav_chain,Network: %chain%,网络：%chain%,네트워크: %chain%
txt_chain,Network:,网络：,네트워크:
txt_update,Validator last update:, 验证器最后更新:,검증기 최신 업데이트:
txt_about,For details on how this is generated see https://validate.eosnation.io/about/,关于如何生成的详细信息请参见https://validate.eosnation.io/about/, 상세내용울 보기 위해서는 https://validate.eosnatio.io/about/을 방문해주세요.  
txt_update,Validator last update: %last_update%, 验证器最后更新: %last_update%,검증기 최신 업데이트: %last_update%
unknown,Unknown,未知,UnKnown
cpu_zzother,Other,其它,기타 
cpu_xeon_silver,Xeon Silver,Xeon Silver系列,Xeon Silver 시스탬
cpu_xeon_gold,Xeon Gold,Xeon Gold系列,Xeon Gold 시스탬
cpu_xeon_platinum,Xeon Platinum,Xeon Platinum系列,Xeon Platinum 시스탬
cpu_xeon_zzother,Xeon Other,Xeon其他系列,Xeon 기타 시스탬
vtype_bare-metal,Bare-metal,裸金属架构,Bare-metal
vtype_hvm,HVM,HVM,HVM
chain_eos,EOS,主网,EOS
chain_bos,BOS,BOS,BOS
chain_wax,WAX,WAX,WAX
chain_meetone,MeetOne,MeetOne,MeetOne
chain_telos,Telos,Telos,Telos
chain_covax,Covax,Covax,Covax
chain_jungle,Jungle Testnet,Jungle测试网,정글 테스트넷
chain_kylin,Kylin Testnet,Kylin测试网,Kylin 테스트넷
chain_bostest,BOS Testnet,BOS测试网,BOS 테스트넷
chain_waxtest,WAX Testnet,WAX测试网,WAX 테스트넷
time_h,h,h,시
time_m,m,m,분
time_s,s,s,초
msg_service,service,,
msg_feature,feature,,
msg_threshold,threshold,阈值,한정치 
msg_count,count,计数,계수
msg_value,value,数值,수치 
msg_value_time,value,数值,수치
msg_suggested_to_use_value,suggested to use value,建议使用数值,수치 이용 제안
msg_delta_time,time delta,,
msg_field,field,域,필드 
msg_contract,contract,合约,컨트랙트 
msg_having_node_type,having node_type,有node_type,노드 타입 있음 
msg_resource,resource,资源,리소스 
msg_api_url,api_url,api_url,api_url
msg_url,url,url,url
msg_post_data,post_data,post_data,post_data
msg_redirected_to_response_url,redirected to response_url,重定向到response_url,response_url로 리다이렉트
msg_response_from_host,response from host,主机响应,호스트로부터 응답
msg_host,host,主机,호스트 
msg_ip,ip,ip,ip
msg_dns,dns,dns,dns
msg_port,port,端口,포트
msg_elapsed_time,elapsed time,运行时间,경과시간
msg_timeout,timeout,超时,시간초과 
msg_validated_at,validated at,验证时间为,검증 시간 
msg_validated_every,validated every,验证每一个,검증 주기
msg_explanation,explanation,解释,설명 
msg_see,see,查看,보기 
msg_last_updated_at,last updated at,最近一次更新,최신 업데이트 
msg_diff,diff,diff,diff
