hash,api_current,producer_current,name
v1.8.0,0,0,1.8.0 (eosio)
greymass-v1.8.0,0,0,1.8.0 (greymass)
v1.8.1,0,0,1.8.1 (eosio)
greymass-v1.8.1,0,0,1.8.1 (greymass)
v1.8.2,0,0,1.8.2 (eosio)
greymass-v1.8.2,0,0,1.8.2 (greymass)
v1.8.3,0,0,1.8.3 (eosio)
greymass-v1.8.3,0,0,1.8.3 (greymass)
v1.8.4,0,0,1.8.4 (eosio)
greymass-v1.8.4,0,0,1.8.4 (greymass)
v1.8.5,0,0,1.8.5 (eosio)
greymass-v1.8.5,0,0,1.8.5 (greymass)
v1.8.6,0,0,1.8.6 (eosio)
greymass-v1.8.6,0,0,1.8.6 (greymass)
v1.8.7,0,0,1.8.7 (eosio)
greymass-v1.8.7,0,1,1.8.7 (greymass)
v1.8.8,0,0,1.8.8 (eosio)
greymass-v1.8.8,0,0,1.8.8 (greymass)
v1.8.9,0,0,1.8.9 (eosio)
greymass-v1.8.9,0,0,1.8.9 (greymass)
v1.8.10,0,0,1.8.10 (eosio)
greymass-v1.8.10,0,0,1.8.10 (greymass)
v1.8.11,0,0,1.8.11 (eosio)
greymass-v1.8.11,1,1,1.8.11 (greymass)
v1.8.12,1,1,1.8.12 (eosio)
greymass-v1.8.12,1,1,1.8.12 (greymass)
v1.8.13,1,1,1.8.13 (eosio)
greymass-v1.8.13,1,1,1.8.13 (greymass)
v1.8.14,1,1,1.8.14 (eosio)
greymass-v1.8.14,1,1,1.8.14 (greymass)
v1.8.15,1,1,1.8.15 (eosio)
greymass-v1.8.15,1,1,1.8.15 (greymass)
v2.0.0,0,0,2.0.0 (eosio)
greymass-v2.0.0,0,0,2.0.0 (greymass)
v2.0.1,0,0,2.0.1 (eosio)
greymass-v2.0.1,0,0,2.0.1 (greymass)
v2.0.2,0,0,2.0.2 (eosio)
greymass-v2.0.2,0,0,2.0.2 (greymass)
v2.0.3,0,0,2.0.3 (eosio)
greymass-v2.0.3,0,0,2.0.3 (greymass)
v2.0.4,1,1,2.0.4 (eosio)
greymass-v2.0.4,1,1,2.0.4 (greymass)
v2.0.5,1,1,2.0.5 (eosio)
greymass-v2.0.5,1,1,2.0.5 (greymass)
v2.0.6,1,1,2.0.6 (eosio)
greymass-v2.0.6,1,1,2.0.6 (greymass)
v2.0.7,1,1,2.0.7 (eosio)
greymass-v2.0.7,1,1,2.0.7 (greymass)
v2.0.8,1,1,2.0.8 (eosio)
greymass-v2.0.8,1,1,2.0.8 (greymass)
v2.0.9,1,1,2.0.9 (eosio)
greymass-v2.0.9,1,1,2.0.9 (greymass)
