hash,api_current,producer_current,name
v1.3.0,0,0,1.3.0 (eosio)
mainnet-1.3.0,0,0,1.3.0 (mainnet)
v1.3.1,0,0,1.3.1 (eosio)
mainnet-1.3.1,0,0,1.3.1 (mainnet)
v1.3.2,0,0,1.3.2 (eosio)
mainnet-1.3.2,0,0,1.3.2 (mainnet)
v1.3.3,0,0,1.3.3 (eosio)
mainnet-1.3.3,0,0,1.3.3 (mainnet)
v1.4.0,0,0,1.4.0 (eosio)
mainnet-1.4.0,0,0,1.4.0 (mainnet)
v1.4.1,0,0,1.4.1 (eosio)
mainnet-1.4.1,0,0,1.4.1 (mainnet)
v1.4.2,0,0,1.4.2 (eosio)
mainnet-1.4.2,0,0,1.4.2 (mainnet)
v1.4.3,0,0,1.4.3 (eosio)
mainnet-1.4.3,0,0,1.4.3 (mainnet)
v1.4.4,0,0,1.4.4 (eosio)
mainnet-1.4.4,0,0,1.4.4 (mainnet)
v1.4.5,0,0,1.4.5 (eosio)
mainnet-1.4.5,0,0,1.4.5 (mainnet)
v1.4.6,0,0,1.4.6 (eosio)
mainnet-1.4.6,0,0,1.4.6 (mainnet)
v1.5.0,0,0,1.5.0 (eosio)
mainnet-1.5.0,0,0,1.5.0 (mainnet)
v1.5.1,0,0,1.5.1 (eosio)
mainnet-1.5.1,0,0,1.5.1 (mainnet)
v1.5.2,0,0,1.5.2 (eosio)
mainnet-1.5.2,0,0,1.5.2 (mainnet)
v1.5.3,1,1,1.5.3 (eosio)
mainnet-1.5.3,1,1,1.5.3 (mainnet)
v1.5.4,1,1,1.5.4 (eosio)
mainnet-1.5.4,1,1,1.5.4 (mainnet)
v1.5.5,1,1,1.5.5 (eosio)
mainnet-1.5.5,1,1,1.5.5 (mainnet)
v1.5.6,1,1,1.5.6 (eosio)
mainnet-1.5.6,1,1,1.5.6 (mainnet)
v1.5.7,1,1,1.5.7 (eosio)
mainnet-1.5.7,1,1,1.5.7 (mainnet)
v1.6.0,1,1,1.6.0 (eosio)
mainnet-1.6.0,1,1,1.6.0 (mainnet)
greymass-v1.6.0,1,1,1.6.0 (greymass)
v1.6.1,1,1,1.6.1 (eosio)
mainnet-1.6.1,1,1,1.6.1 (mainnet)
greymass-v1.6.1,1,1,1.6.1 (greymass)
v1.6.2,1,1,1.6.2 (eosio)
mainnet-1.6.2,1,1,1.6.2 (mainnet)
greymass-v1.6.2,1,1,1.6.2 (greymass)
v1.6.3,1,1,1.6.3 (eosio)
mainnet-1.6.3,1,1,1.6.3 (mainnet)
greymass-v1.6.3,1,1,1.6.3 (greymass)
v1.6.4,1,1,1.6.4 (eosio)
mainnet-1.6.4,1,1,1.6.4 (mainnet)
greymass-v1.6.4,1,1,1.6.4 (greymass)
v1.6.5,1,1,1.6.5 (eosio)
mainnet-1.6.5,1,1,1.6.5 (mainnet)
greymass-v1.6.5,1,1,1.6.5 (greymass)
v1.6.6,1,1,1.6.6 (eosio)
mainnet-1.6.6,1,1,1.6.6 (mainnet)
greymass-v1.6.6,1,1,1.6.6 (greymass)
v1.6.7,1,1,1.6.7 (eosio)
mainnet-1.6.7,1,1,1.6.7 (mainnet)
greymass-v1.6.7,1,1,1.6.7 (greymass)
v1.7.0,1,1,1.7.0 (eosio)
mainnet-1.7.0,1,1,1.7.0 (mainnet)
greymass-v1.7.0,1,1,1.7.0 (greymass)
v1.7.1,1,1,1.7.1 (eosio)
mainnet-1.7.1,1,1,1.7.1 (mainnet)
greymass-v1.7.1,1,1,1.7.1 (greymass)
v1.7.2,1,1,1.7.2 (eosio)
mainnet-1.7.2,1,1,1.7.2 (mainnet)
greymass-v1.7.2,1,1,1.7.2 (greymass)
v1.7.3,1,1,1.7.3 (eosio)
mainnet-1.7.3,1,1,1.7.3 (mainnet)
greymass-v1.7.3,1,1,1.7.3 (greymass)
v1.7.4,1,1,1.7.4 (eosio)
mainnet-1.7.4,1,1,1.7.4 (mainnet)
greymass-v1.7.4,1,1,1.7.4 (greymass)
v1.7.5,1,1,1.7.5 (eosio)
mainnet-1.7.5,1,1,1.7.5 (mainnet)
greymass-v1.7.5,1,1,1.7.5 (greymass)
v1.7.6,1,1,1.7.6 (eosio)
mainnet-1.7.6,1,1,1.7.6 (mainnet)
greymass-v1.7.6,1,1,1.7.6 (greymass)
v1.8.0-rc1,1,1,1.8.0 (eosio)
mainnet-1.8.0-rc1,1,1,1.8.0 (mainnet)
greymass-v1.8.0-rc1,1,1,1.8.0 (greymass)
v1.8.0-rc2,1,1,1.8.0 (eosio)
mainnet-1.8.0-rc2,1,1,1.8.0 (mainnet)
greymass-v1.8.0-rc2,1,1,1.8.0 (greymass)
v1.8.0-rc3,1,1,1.8.0 (eosio)
mainnet-1.8.0-rc3,1,1,1.8.0 (mainnet)
greymass-v1.8.0-rc3,1,1,1.8.0 (greymass)
v1.8.0,1,1,1.8.0 (eosio)
mainnet-1.8.0,1,1,1.8.0 (mainnet)
greymass-v1.8.0,1,1,1.8.0 (greymass)
