hash,api_current,name
wax-1.8.0-1.0.0,0,1.8.0 (wax)
wax-1.8.1-1.0.0,0,1.8.1 (wax)
wax-1.8.2-1.0.0,0,1.8.2 (wax)
wax-1.8.3-1.0.0,0,1.8.3 (wax)
wax-1.8.4-1.0.0,0,1.8.4 (wax)
v2.0.5wax01,0,2.0.5 (wax)
v2.0.6wax01,0,2.0.6 (wax)
v2.0.6wax02,0,2.0.6 (wax)
v2.0.7wax01,0,2.0.7 (wax)
v2.0.8wax01,1,2.0.8 (wax)
v2.0.8wax02,1,2.0.8 (wax)
v2.0.9wax01,1,2.0.9 (wax)
v2.0.10wax01,1,2.0.10 (wax)
v2.0.11wax01,1,2.0.11 (wax)
v2.0.12wax01,1,2.0.12 (wax)
v2.0.13wax01,1,2.0.13 (wax)
v2.0.14wax01,1,2.0.14 (wax)
v2.1.0wax01,1,2.1.0 (wax)
